,Time,Drowsy
170,10:50,1
171,10:51,1
172,10:52,1
173,10:53,1
174,10:54,1
175,10:55,1
176,10:56,1
177,10:57,1
178,10:58,1
179,10:59,1
180,11:00,1
181,11:01,1
182,11:02,1
183,11:03,1
184,11:04,1
185,11:05,1
186,11:06,1
187,11:07,1
188,11:08,1
189,11:09,1
190,11:10,1
191,11:11,1
192,11:12,1
193,11:13,1
194,11:14,1
195,11:15,1
196,11:16,1
197,11:17,1
198,11:18,1
199,11:19,1
320,13:20,1
321,13:21,1
322,13:22,1
323,13:23,1
324,13:24,1
325,13:25,1
326,13:26,1
327,13:27,1
328,13:28,1
329,13:29,1
330,13:30,1
331,13:31,1
332,13:32,1
333,13:33,1
334,13:34,1
335,13:35,1
336,13:36,1
337,13:37,1
338,13:38,1
339,13:39,1
340,13:40,1
341,13:41,1
342,13:42,1
343,13:43,1
344,13:44,1
345,13:45,1
346,13:46,1
347,13:47,1
348,13:48,1
349,13:49,1
505,16:25,1
506,16:26,1
507,16:27,1
508,16:28,1
509,16:29,1
510,16:30,1
511,16:31,1
512,16:32,1
513,16:33,1
514,16:34,1
515,16:35,1
516,16:36,1
517,16:37,1
518,16:38,1
519,16:39,1
520,16:40,1
521,16:41,1
522,16:42,1
523,16:43,1
524,16:44,1
525,16:45,1
526,16:46,1
527,16:47,1
528,16:48,1
529,16:49,1
530,16:50,1
531,16:51,1
532,16:52,1
533,16:53,1
534,16:54,1
