,Time,Drowsy
189,11:09,1
190,11:10,1
191,11:11,1
192,11:12,1
193,11:13,1
194,11:14,1
195,11:15,1
196,11:16,1
197,11:17,1
198,11:18,1
199,11:19,1
200,11:20,1
201,11:21,1
202,11:22,1
203,11:23,1
204,11:24,1
205,11:25,1
206,11:26,1
207,11:27,1
208,11:28,1
209,11:29,1
210,11:30,1
211,11:31,1
212,11:32,1
213,11:33,1
214,11:34,1
215,11:35,1
216,11:36,1
217,11:37,1
218,11:38,1
339,13:39,1
340,13:40,1
341,13:41,1
342,13:42,1
343,13:43,1
344,13:44,1
345,13:45,1
346,13:46,1
347,13:47,1
348,13:48,1
349,13:49,1
350,13:50,1
351,13:51,1
352,13:52,1
353,13:53,1
354,13:54,1
355,13:55,1
356,13:56,1
357,13:57,1
358,13:58,1
359,13:59,1
360,14:00,1
361,14:01,1
362,14:02,1
363,14:03,1
364,14:04,1
365,14:05,1
366,14:06,1
367,14:07,1
368,14:08,1
489,16:09,1
490,16:10,1
491,16:11,1
492,16:12,1
493,16:13,1
494,16:14,1
495,16:15,1
496,16:16,1
497,16:17,1
498,16:18,1
499,16:19,1
500,16:20,1
501,16:21,1
502,16:22,1
503,16:23,1
504,16:24,1
505,16:25,1
506,16:26,1
507,16:27,1
508,16:28,1
509,16:29,1
510,16:30,1
511,16:31,1
512,16:32,1
513,16:33,1
514,16:34,1
515,16:35,1
516,16:36,1
517,16:37,1
518,16:38,1
